#,Reaction,ATP,NADH,Fdred,CO2,HCO3-,Acetyl-CoA,Pyruvate,HCO2-, 3-phospho-D-glycerate,Oxaloacetate,Phosphoenolpyruvate, 2-phospho-D-glycerate,3-phospho-D-glyceroyl phosphate,D-glyceraldehyde 3-phosphate ,Glycerone phosphate,"D-Fructose 1,6-bisphosphate",D-Fructose 6-phosphate, D-Glucose 6-phosphate ,D-Glucose,"D-Glucono-1,5-lactone",D-Gluconate,EC Number,Reference,Notes
,,Input,Input,Input,Input/Output,Input,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,Production of gluconic acid from CO2
1,1 CO2 + 1 HCO3- + 3 ATP + 1 NADH + 6 Fd → 1 acetyl-CoA,-3,-1,-6,-1,-1,1,,,,,,,,,,,,,,,,,,
2,2 acetyl-coA + 2 NADH + 2 CO2  →  2 pyruvate,,-2,,-2,,-2,2,,,,,,,,,,,,,,,,,
3,ATP + Pyruvate + HCO3- → ADP + Phosphate + Oxaloacetate,-1,,,,-1,,-1,,,1,,,,,,,,,,,,EC 6.4.1.1  ,KEGG R00344  ,
4,ATP + Oxaloacetate → ADP + Phosphoenolpyruvate + CO2,-1,,,1,,,,,,-1,1,,,,,,,,,,,EC 4.1.1.49,KEGG R00341,
5,Phosphoenolpyruvate + H2O → 2-phospho-D-glycerate,,,,,,,,,,,-1,1,,,,,,,,,,EC 4.2.1.11,KEGG R00658,
6,2-phospho-D-glycerate → 3-phospho-D-glycerate,,,,,,,,,1,,,-1,,,,,,,,,,EC 5.4.2.11,KEGG R01518,
7,ATP + 3-phospho-D-glycerate → ADP + 3-phospho-D-glyceroyl phosphate,-1,,,,,,,,-1,,,,1,,,,,,,,,EC 2.7.2.3,KEGG R01512,
8,3-phospho-D-glyceroyl phosphate + NADH + H+ → D-glyceraldehyde 3-phosphate + Phosphate + NAD+ ,,-1,,,,,,,,,,,-1,1,,,,,,,,EC 1.2.1.12,KEGG R01061,
9,D-glyceraldehyde 3-phosphate → Glycerone phosphate,,,,,,,,,,,,,,-1,1,,,,,,,EC 5.3.1.1,KEGG R01015,
10,"Glycerone phosphate + D-glyceraldehyde 3-phosphate → D-fructose 1,6-bisphosphate ",,,,,,,,,,,,,,-1,-1,1,,,,,,EC 4.1.2.13,KEGG R01068,
11,"D-fructose 1,6-bisphosphate + H2O → D-fructose 6-phosphate + Phosphate ",,,,,,,,,,,,,,,,-1,1,,,,,EC 3.1.3.11 ,KEGG R00762,
12,D-fructose 6-phosphate → D-glucose 6-phosphate,,,,,,,,,,,,,,,,,-1,1,,,,EC 5.3.1.9,KEGG R00771,
13,D-glucose 6-phosphate + H2O → D-glucose + Phosphate,,,,,,,,,,,,,,,,,,-1,1,,,EC 3.1.3.9 ,KEGG R00303,
14,"D-glucose + NAD(P)+ → D-glucono-1,5-lactone + NAD(P)H + H+",,1,,,,,,,,,,,,,,,,,-1,1,,EC 1.1.1.47,KEGG R01520       ,
15,"D-glucono-1,5-lactone + H2O → D-gluconate",,,,,,,,,,,,,,,,,,,,-1,1,EC 3.1.1.17 ,KEGG R01519  ,
